iter	Passed	Remaining
0	1	144
1	2	132
2	4	132
3	4	117
4	6	116
5	7	111
6	8	107
7	9	107
8	10	106
9	11	104
10	12	103
11	14	103
12	15	101
13	16	100
14	17	99
15	18	98
16	20	97
17	21	96
18	22	94
19	23	94
20	24	92
21	25	90
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	46	69
40	47	68
41	47	65
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	81	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	103	7
93	104	6
94	105	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
